flex_score,score_category,property_use,building_sqft,address,municipality,acres,market_value,owner_name,year_built,warehouse_sqft,office_sqft,office_percentage,parcel_id,assessed_value,improvement_value,land_value,sale_date,sale_price,owner_address,has_enriched_data,has_building_data,extraction_timestamp,scrape_success,scrape_message,subarea_warehouse_sqft,subarea_office_sqft,zoning_code,property_use_code_detail,number_of_units,improvement_value_2025,improvement_value_2024,improvement_value_2023,improvement_value_2022,improvement_value_2021,land_value_2025,land_value_2024,land_value_2023,land_value_2022,land_value_2021,market_value_2025,market_value_2024,market_value_2023,market_value_2022,market_value_2021,assessed_value_current,exemption_amount,taxable_value_current,ad_valorem_tax,non_ad_valorem_tax,total_annual_tax,sales_history,5yr_appreciation,office_warehouse_ratio,tax_rate,sales_count
10.0,Excellent,WAREH/DIST TERM,20088,3151 SW 14TH PL,BOYNTON BEACH,1.0,2569458,MOTECH MOLDINGS LLLP,1984.0,5398.0,1188.0,18.0,8434605080000130,2040689,0,0,1423717200000.0,1850000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,21420,1696 OKEECHOBEE RD,WEST PALM BEACH,1.0111,2586578,LANTANA CONSTRUCTION CORP,1980.0,18820.0,2040.0,9.8,74434329000001370,2062385,0,0,825656400000.0,176000,,False,True,2025-09-15T14:32:38.647128,True,Successfully extracted enhanced property data,18820.0,280.0,IL—INDUSTRIAL LIGHT,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2268624.0,,2268624.0,52028.0,5633.0,57661.0,[],,0.015,,0
10.0,Excellent,WAREH/DIST TERM,24188,1230 GATEWAY RD 1,LAKE PARK,1.0038,2420458,KELSEY INDUSTRIAL LLC,1976.0,1308.0,,,36434220100000040,1623211,0,0,1375934400000.0,5900000,,False,True,2025-09-15T14:32:40.771534,True,Successfully extracted enhanced property data,24188.0,,C4—C4 BUSINESS DISTRICT,4805—SELF STORAGE,0.0,,,,,,,,,,,,,,,,1785532.0,,1785532.0,41687.0,6143.0,47830.0,[],,,,0
10.0,Excellent,WAREH/DIST TERM,20100,707 COMMERCE WAY E,JUPITER,1.0827,2624547,JUPITER CHRISTIAN SCHOOL INC,1979.0,18386.0,140.0,0.8,30424102090020080,2194033,0,0,1135227600000.0,1600000,,False,True,2025-09-15T14:32:42.936809,True,Successfully extracted enhanced property data,18386.0,690.0,I2—INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2413436.0,,0.0,0.0,4890.0,4890.0,[],,0.036,,0
10.0,Excellent,WAREH/DIST TERM,21001,131 COMMERCE RD,BOYNTON BEACH,1.0993,3725766,131 COMMERCE LLC,1999.0,1728.0,3248.0,65.3,8434509210020070,2751140,0,0,1449032400000.0,2000000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,24390,3728 GEORGIA AVE,WEST PALM BEACH,1.0615,3288962,GAIP2 LLC,1984.0,4140.0,1260.0,23.3,74434333290050061,2292406,0,0,476082000000.0,100,,False,True,2025-09-15T14:32:47.374392,True,Successfully extracted enhanced property data,4140.0,1260.0,I—INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2521647.0,,2521647.0,59282.0,6415.0,65697.0,[],,0.233,,0
10.0,Excellent,WAREH/DIST TERM,20535,6715 WHITE DR,RIVIERA BEACH,1.095,2727986,6715 WHITE DRIVE LLC,1983.0,14917.0,1840.0,11.0,56424236020040020,2103836,0,0,1481259600000.0,1910000,,False,True,2025-09-15T14:32:49.668481,True,Successfully extracted enhanced property data,14917.0,3778.0,IG—GENERAL INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2314220.0,,2314220.0,52086.0,5086.0,57172.0,[],,0.202,,0
10.0,Excellent,WAREH/DIST TERM,24746,3608 E INDUSTRIAL WAY,WEST PALM BEACH,1.0642,2253850,LAWRENCE W1 LLC,1976.0,396.0,946.0,70.5,434230010030000,1631886,0,0,1246248000000.0,10,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,22080,3850 BYRON DR,WEST PALM BEACH,1.136,2419517,BYRON DRIVE RIVIERA BEACH FL LLC,1982.0,19744.0,800.0,3.9,434230010080020,2221599,0,0,1658980800000.0,3968870,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,27480,5740 COLUMBIA CIR,MANGONIA PARK,1.1386,2910167,COLUMBIA CIRCLE LLC,1978.0,18351.0,1529.0,7.7,44434305160000171,2727690,0,0,1638766800000.0,3878600,,False,True,2025-09-15T14:32:56.362907,True,Successfully extracted enhanced property data,18351.0,1529.0,I—INDUSTRIAL DISTRICT,"0219
                                

                                    WARRANTY DEED
                                

                                    ALL AC SELF STORAGE",0.0,,,,,,,,,,,,,,,,3000459.0,,3000459.0,68911.0,2611.0,71521.0,[],,0.077,,0
10.0,Excellent,WAREH/DIST TERM,20013,10034 SPANISH ISLES BLVD,BOCA RATON,1.1298,3212192,PSB BOCA COMMERCE PARK LLC,1987.0,18069.0,1944.0,9.7,414701010080030,2338035,0,0,1164862800000.0,16810000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,23280,5555 N DIXIE HWY,BOCA RATON,1.1299,4206346,ACORN MINI STORAGE OF BOCA LLC,1979.0,11502.0,,,6434705010040131,2329470,0,0,1377489600000.0,1700000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,32240,1902 7TH CT N,LAKE WORTH,1.1374,2918227,AREAL INVESTMENTS INC,1962.0,440.0,576.0,56.7,38434421070000170,1823065,0,0,1268024400000.0,1660000,,False,True,2025-09-15T14:33:03.143209,True,Successfully extracted enhanced property data,440.0,1500.0,I-POC—INDUSTRIAL PARK OF COMMERCE,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2005372.0,,2005372.0,51952.0,11407.0,63359.0,[],,0.773,,0
10.0,Excellent,WAREH/DIST TERM,23985,531 SOUTHERN BLVD,WEST PALM BEACH,1.1161,4079139,ECHO BEAR LLC,1957.0,9198.0,300.0,3.2,74434333000005100,2580725,0,0,1388984400000.0,1650000,,False,True,2025-09-15T14:33:05.380299,True,Successfully extracted enhanced property data,9198.0,1485.0,I—INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2838798.0,,2838798.0,69735.0,6018.0,75753.0,[],,0.139,,0
10.0,Excellent,WAREH/DIST TERM,27056,901 BARNETT DR,LAKE WORTH,1.111,2751818,TRUE RUDDER LLC,1982.0,19620.0,2700.0,12.1,38434421020120030,2231833,0,0,1516770000000.0,3460000,,False,True,2025-09-15T14:33:07.556471,True,Successfully extracted enhanced property data,19620.0,2700.0,"Acres



                                    1
                                

                                    COMMERCIAL
                                

                                    MU-W
                                

                                    1","1165
                                

                                    WARRANTY DEED
                                

                                    AA ALPINE STORAGE",0.0,,,,,,,,,,,,,,,,2455016.0,,2455016.0,56872.0,9311.0,66183.0,[],,0.121,,0
10.0,Excellent,WAREH/DIST TERM,20125,1360 N KILLIAN DR,LAKE PARK,1.1219,3130598,JB PARASMO LLC,1978.0,,1830.0,,36434220090000460,2307554,0,0,1511845200000.0,1800000,,False,True,2025-09-15T14:33:09.786498,True,Successfully extracted enhanced property data,20125.0,360.0,C4—C4 BUSINESS DISTRICT,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2538309.0,,2538309.0,58868.0,9307.0,68175.0,[],,0.018,,0
10.0,Excellent,WAREH/DIST TERM,27328,3200 S CONGRESS AVE,BOYNTON BEACH,1.1233,4257167,R A M J ASSOCIATES LLC,1985.0,952.0,,,8434605090000032,4257167,0,0,1219377600000.0,2800000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,24259,3519 AVENUE K,RIVIERA BEACH,1.1382,1636720,M&T RE ENT LLC,1964.0,22651.0,1608.0,6.6,56434229220000351,1212869,0,0,1519794000000.0,10,,False,True,2025-09-15T14:33:14.242595,True,Successfully extracted enhanced property data,22651.0,1608.0,IL—LIMITED INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,1334156.0,,1334156.0,33067.0,5943.0,39010.0,[],,0.066,,0
10.0,Excellent,WAREH/DIST TERM,23050,1700 ARCADIA WAY,BOCA RATON,1.1146,2672030,ECKOLS 76 LTD &,1974.0,10675.0,1175.0,9.9,6434717290180044,1952779,0,0,844142400000.0,1000000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,22098,1399 SW 30TH AVE,BOYNTON BEACH,1.1478,2890358,BH 1399 LLC &,1985.0,19266.0,2142.0,10.0,8434605080000030,2804418,0,0,1653451200000.0,4400000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,36892,2130 NW 1ST PL,BOCA RATON,1.2051,3246713,20TH STREET BUILDING LLC,1963.0,18771.0,234.0,1.2,6434717030000010,2960994,0,0,1091246400000.0,2500000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,24385,7435 CENTRAL INDUSTRIAL DR,WEST PALM BEACH,1.2623,2538054,7435 WPB LTD,1970.0,19625.0,2380.0,10.8,434230000007090,2097633,0,0,944110800000.0,870000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,23922,1365 NEPTUNE DR,BOYNTON BEACH,1.2595,3014582,EFE INC,1984.0,140.0,1302.0,90.3,8434605000007100,2348484,0,0,1492747200000.0,3750000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,20750,210 NEWMAN RD A,LAKE PARK,1.2201,2506956,FLORIDA AERO PRECISION INC,1976.0,10300.0,2200.0,17.6,36434220000005120,2071612,0,0,1341201600000.0,10,,False,True,2025-09-15T14:33:27.745306,True,Successfully extracted enhanced property data,10300.0,2200.0,"Acres



                                    1
                                

                                    INDUSTRIAL
                                

                                    CLIC
                                

                                    1",4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2278773.0,,2278773.0,51961.0,9950.0,61911.0,[],,0.176,,0
10.0,Excellent,WAREH/DIST TERM,26437,1318 S J ST,LAKE WORTH,1.2538,3118387,J STREET BAYS LLC,1974.0,4000.0,,,38434427010620010,2800611,0,0,1624248000000.0,2900000,,False,True,2025-09-15T14:33:29.971299,True,Successfully extracted enhanced property data,4000.0,,AI—ARTISANAL INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,3080672.0,,3080672.0,68908.0,10150.0,79058.0,[],,,,0
10.0,Excellent,WAREH/DIST TERM,20082,1100 N FLORIDA MANGO RD,WEST PALM BEACH,1.2734,3708768,AREPIV WPB 1 INDUSTRIAL LLC,1984.0,80.0,5429.0,98.5,74434329000001050,3708768,0,0,1695096000000.0,43000000,,False,True,2025-09-15T14:33:32.203171,True,Successfully extracted enhanced property data,20082.0,517.0,IL—INDUSTRIAL LIGHT,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2964017.0,,2964017.0,60610.0,5787.0,66397.0,[],,0.025,,0
10.0,Excellent,WAREH/DIST TERM,21000,1199 PRESIDENT BARACK OBAMA HWY 2,RIVIERA BEACH,1.2844,2868167,1199 PARTNERS LLC,2001.0,21000.0,,,56434232240000020,2540470,0,0,1622001600000.0,5575000,,False,True,2025-09-15T14:33:34.414725,True,Successfully extracted enhanced property data,21000.0,,IL—LIMITED INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2794517.0,,2794517.0,59410.0,5145.0,64555.0,[],,,,0
10.0,Excellent,WAREH/DIST TERM,30400,212 NEWMAN RD A,LAKE PARK,1.2863,2393571,ROYAL WHITE REAL ESTATE INC,1974.0,27046.0,1086.0,3.9,36434220000005110,2043697,0,0,1418014800000.0,10,,False,True,2025-09-15T14:33:36.641654,True,Successfully extracted enhanced property data,27046.0,2268.0,"Acres



                                    1
                                

                                    INDUSTRIAL
                                

                                    CLIC
                                

                                    1",4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2248067.0,,2248067.0,54242.0,12310.0,66552.0,[],,0.077,,0
10.0,Excellent,WAREH/DIST TERM,20352,170 COMMERCE RD 1,BOYNTON BEACH,1.2669,3330185,COMMERCE PROPERTY OWNER LLC,2001.0,1620.0,1500.0,48.1,8434509210020180,2537453,0,0,1595476800000.0,2275000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
